id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
1563TZN000404025329,1528,0,1,0,1,0,0,0,23,12,1,4,0.0149346,-0.0409145,-0.0227915,-0.0138641,-0.00365091
1564TZN000365699528,1529,0,0,0,0,0,1,0,23,1,1,3,0.0248692,8.72732e-4,0.0108009,0.0188443,-0.0103885
1565TZN000404025326,1530,1,1,0,1,1,1,0,23,12,1,4,0.0245862,-0.025538,-0.00535668,-0.0043449,9.8077e-4
1566TZN000404025340,1531,0,1,0,0,0,0,0,23,12,1,4,-0.0118654,0.0355079,-0.0333603,-0.0116084,0.0131871
1567TZN000365699499,1532,0,0,0,1,0,0,0,23,1,1,3,0.0267403,0.00195388,0.0106731,0.010682,-0.00395191
1568TZN000404025338,1533,0,1,0,1,0,0,0,23,12,1,4,-0.0138219,0.0193361,-0.0267292,-0.0317959,-0.0321089
1569TZN000365699381,1534,0,0,0,1,0,0,1,23,12,1,2,0.0254512,-0.0309118,-0.0138362,0.00310082,-0.0137858
1570TZN000365699503,1535,1,0,0,0,1,0,1,23,1,1,3,0.0273603,-0.0115085,-0.00177384,0.00526204,-0.00803184
1571TZN000404025342,1536,0,1,0,0,0,0,0,23,12,1,4,0.0152501,-0.0320651,-0.019741,-0.00641283,-0.00790784
1572TZN000404025357,1537,1,1,0,0,0,0,0,23,12,1,4,0.00236013,-0.0418786,-0.012439,-0.0227497,-0.0412582
1573TZN000404024876,1538,0,0,0,1,0,1,0,23,1,1,3,0.0227195,-0.0191322,-0.0148775,-0.00761711,-0.00584401
1574TZN000404025356,1539,0,1,0,0,0,0,0,23,12,1,4,0.0116262,-0.0498813,-0.0263687,0.0047541,-0.0130189
1575TZN000365699694,1540,0,0,0,0,0,0,0,23,12,1,1,0.0456371,-0.0171023,-0.00591635,-0.0111929,0.00190311
1576TZN000365699672,1541,0,0,0,0,0,0,0,23,12,1,1,-0.012098,-0.00156486,-0.00891905,-0.00836899,-0.00450348
1577TZN000404025317,1542,1,1,0,0,1,0,0,23,12,1,4,0.0176883,-0.0268465,-0.00648827,-0.013492,-0.00459158
